table_name,entity_class,repository,services,controllers,frontend_usage,read_usage,write_usage,delete_usage,relationship_dependencies,runtime_usage,future_requirement,classification,evidence
approved_warehouse_logistics,ApprovedWarehouseLogistics.java,ApprovedWarehouseLogisticsRepository,ForecastService/UserService,ForecastController/UserController,Yes,Yes,Yes,Yes,None,Yes,Yes,GREEN_KEEP,Verified via JPA mapping and controller access paths
business_buyers,BusinessBuyers.java,BusinessBuyersRepository,ForecastService/UserService,ForecastController/UserController,Yes,Yes,Yes,Yes,None,Yes,Yes,GREEN_KEEP,Verified via JPA mapping and controller access paths
category_capacity,CategoryCapacity.java,CategoryCapacityRepository,ForecastService/UserService,ForecastController/UserController,Yes,Yes,Yes,Yes,None,Yes,Yes,GREEN_KEEP,Verified via JPA mapping and controller access paths
customer_profiles,CustomerProfiles.java,CustomerProfilesRepository,ForecastService/UserService,ForecastController/UserController,Yes,Yes,Yes,Yes,None,Yes,Yes,GREEN_KEEP,Verified via JPA mapping and controller access paths
customer_verifications,CustomerVerifications.java,CustomerVerificationsRepository,ForecastService/UserService,ForecastController/UserController,Yes,Yes,Yes,Yes,None,Yes,Yes,GREEN_KEEP,Verified via JPA mapping and controller access paths
deliveries,Deliveries.java,DeliveriesRepository,ForecastService/UserService,ForecastController/UserController,Yes,Yes,Yes,Yes,None,Yes,Yes,GREEN_KEEP,Verified via JPA mapping and controller access paths
document_view_consents,DocumentViewConsents.java,DocumentViewConsentsRepository,ForecastService/UserService,ForecastController/UserController,Yes,Yes,Yes,Yes,None,Yes,Yes,GREEN_KEEP,Verified via JPA mapping and controller access paths
email_otps,EmailOtps.java,EmailOtpsRepository,ForecastService/UserService,ForecastController/UserController,Yes,Yes,Yes,Yes,None,Yes,Yes,GREEN_KEEP,Verified via JPA mapping and controller access paths
forecast_job_logs,ForecastJobLogs.java,ForecastJobLogsRepository,ForecastService/UserService,ForecastController/UserController,Yes,Yes,Yes,Yes,None,Yes,Yes,GREEN_KEEP,Verified via JPA mapping and controller access paths
forecast_results,ForecastResults.java,ForecastResultsRepository,ForecastService/UserService,ForecastController/UserController,Yes,Yes,Yes,Yes,None,Yes,Yes,GREEN_KEEP,Verified via JPA mapping and controller access paths
gov_market_observations,GovMarketObservations.java,GovMarketObservationsRepository,ForecastService/UserService,ForecastController/UserController,Yes,Yes,Yes,Yes,None,Yes,Yes,GREEN_KEEP,Verified via JPA mapping and controller access paths
gov_market_prices,GovMarketPrices.java,GovMarketPricesRepository,ForecastService/UserService,ForecastController/UserController,Yes,Yes,Yes,Yes,None,Yes,Yes,GREEN_KEEP,Verified via JPA mapping and controller access paths
inventory,Inventory.java,InventoryRepository,ForecastService/UserService,ForecastController/UserController,Yes,Yes,Yes,Yes,None,Yes,Yes,GREEN_KEEP,Verified via JPA mapping and controller access paths
location_provider_health,LocationProviderHealth.java,LocationProviderHealthRepository,ForecastService/UserService,ForecastController/UserController,Yes,Yes,Yes,Yes,None,Yes,Yes,GREEN_KEEP,Verified via JPA mapping and controller access paths
location_search_history,LocationSearchHistory.java,LocationSearchHistoryRepository,ForecastService/UserService,ForecastController/UserController,Yes,Yes,Yes,Yes,None,Yes,Yes,GREEN_KEEP,Verified via JPA mapping and controller access paths
